day,temperature,precipitation,bicycle_counts
1,0.7000000000000002,0.43796394485684,150
2,0.40000000000000013,0.3170731707317074,87
3,0.20000000000000018,0.43796394485684,108
4,0.6000000000000001,0.43796394485684,162
5,0.30000000000000004,0.7073170731707317,65
6,0.0,0.43796394485684,82
7,0.5,0.43796394485684,145
8,0.8000000000000003,0.43796394485684,197
9,0.40000000000000013,0.0,101
10,0.20000000000000018,0.43796394485684,90
11,0.7000000000000002,0.43796394485684,173
12,1.0,0.43796394485684,232
13,0.6000000000000001,0.6097560975609757,125
14,0.30000000000000004,0.43796394485684,112
15,0.10000000000000009,0.43796394485684,75
16,0.5,0.43796394485684,157
17,0.9000000000000004,0.43796394485684,221
18,0.40000000000000013,0.2195121951219513,97
19,0.20000000000000018,0.43796394485684,102
20,0.6000000000000001,0.43796394485684,170
21,0.8000000000000003,0.43796394485684,207
22,0.30000000000000004,1.0,70
23,0.10000000000000009,0.43796394485684,88
24,0.5,0.43796394485684,150
25,0.7000000000000002,0.43796394485684,182
26,0.40000000000000013,0.14634146341463417,107
27,0.20000000000000018,0.43796394485684,105
28,0.6000000000000001,0.43796394485684,167
29,0.9000000000000004,0.43796394485684,227
30,0.5,0.4878048780487806,120
31,0.30000000000000004,0.43796394485684,115
32,0.10000000000000009,0.43796394485684,72
33,0.6000000000000001,0.43796394485684,162
34,0.8000000000000003,0.43796394485684,212
35,0.40000000000000013,0.8048780487804879,85
36,0.20000000000000018,0.43796394485684,108
37,0.7000000000000002,0.43796394485684,177
38,1.0,0.43796394485684,240
39,0.5,0.41463414634146345,132
40,0.30000000000000004,0.43796394485684,118
41,0.10000000000000009,0.43796394485684,78
42,0.6000000000000001,0.43796394485684,165
43,0.9000000000000004,0.43796394485684,225
44,0.40000000000000013,0.07317073170731708,112
45,0.20000000000000018,0.43796394485684,95
46,0.7000000000000002,0.43796394485684,185
47,1.0,0.43796394485684,247
48,0.6000000000000001,0.5365853658536586,137
49,0.30000000000000004,0.43796394485684,122
50,0.10000000000000009,0.43796394485684,80
51,0.5,0.43796394485684,152
52,0.8000000000000003,0.43796394485684,217
53,0.40000000000000013,0.36585365853658547,103
54,0.20000000000000018,0.43796394485684,102
55,0.6000000000000001,0.43796394485684,172
56,0.9000000000000004,0.43796394485684,232
57,0.5,0.7073170731707317,128
58,0.30000000000000004,0.43796394485684,116
59,0.10000000000000009,0.43796394485684,82
60,0.6000000000000001,0.43796394485684,168
61,0.8000000000000003,0.43796394485684,212
62,0.40000000000000013,0.17073170731707316,113
63,0.20000000000000018,0.43796394485684,98
64,0.7000000000000002,0.43796394485684,188
65,1.0,0.43796394485684,252
66,0.6000000000000001,0.5853658536585367,145
67,0.30000000000000004,0.43796394485684,120
68,0.10000000000000009,0.43796394485684,77
69,0.5,0.43796394485684,155
70,0.9000000000000004,0.43796394485684,230
71,0.40000000000000013,0.2682926829268293,110
72,0.20000000000000018,0.43796394485684,105
73,0.6000000000000001,0.43796394485684,175
74,0.8000000000000003,0.43796394485684,217
75,0.30000000000000004,0.878048780487805,73
76,0.10000000000000009,0.43796394485684,85
77,0.5,0.43796394485684,160
78,0.7000000000000002,0.43796394485684,192
79,0.40000000000000013,0.12195121951219512,118
80,0.20000000000000018,0.43796394485684,100
81,0.6000000000000001,0.43796394485684,178
82,0.9000000000000004,0.43796394485684,235
83,0.5,0.6585365853658537,135
84,0.30000000000000004,0.43796394485684,123
85,0.10000000000000009,0.43796394485684,80
86,0.6000000000000001,0.43796394485684,172
87,0.8000000000000003,0.43796394485684,222
88,0.40000000000000013,0.3170731707317074,108
89,0.20000000000000018,0.43796394485684,103
90,0.7000000000000002,0.43796394485684,190
91,1.0,0.43796394485684,257
92,0.6000000000000001,0.5121951219512195,150
93,0.30000000000000004,0.43796394485684,125
94,0.10000000000000009,0.43796394485684,77
95,0.5,0.43796394485684,160
96,0.9000000000000004,0.43796394485684,235
97,0.40000000000000013,0.17073170731707316,118
98,0.20000000000000018,0.43796394485684,107
99,0.6000000000000001,0.43796394485684,180
100,0.8000000000000003,0.43796394485684,227
